,country,indicator,date,year_week,value,source_x,url,country_code,level,region,region_name,new_cases_x,tests_done,population,testing_rate,positivity_rate,testing_data_source,source_y,new_cases_y,number_sequenced,percent_cases_sequenced,valid_denominator,variant,number_detections_variant,number_sequenced_known_variant,percent_variant
57761,Ireland,Daily ICU occupancy,2021-01-24,2021-W03,221.0,Country_Website,https://data.gov.ie/dataset/icubishistorictimelinepublicview,IE,national,IE,Ireland,14059.0,146868.0,4964440.0,2958.40014180854,9.57254132962933,TESSy,,,,,,,,,
57759,Ireland,Daily ICU occupancy,2021-01-22,2021-W03,218.0,Country_Website,https://data.gov.ie/dataset/icubishistorictimelinepublicview,IE,national,IE,Ireland,14059.0,146868.0,4964440.0,2958.40014180854,9.57254132962933,TESSy,,,,,,,,,
57771,Ireland,Daily ICU occupancy,2021-01-25,2021-W04,218.0,Country_Website,https://data.gov.ie/dataset/icubishistorictimelinepublicview,IE,national,IE,Ireland,8609.0,137069.0,4964440.0,2761.01634826889,6.28077829414383,TESSy,,,,,,,,,
57760,Ireland,Daily ICU occupancy,2021-01-23,2021-W03,216.0,Country_Website,https://data.gov.ie/dataset/icubishistorictimelinepublicview,IE,national,IE,Ireland,14059.0,146868.0,4964440.0,2958.40014180854,9.57254132962933,TESSy,,,,,,,,,
57772,Ireland,Daily ICU occupancy,2021-01-26,2021-W04,216.0,Country_Website,https://data.gov.ie/dataset/icubishistorictimelinepublicview,IE,national,IE,Ireland,8609.0,137069.0,4964440.0,2761.01634826889,6.28077829414383,TESSy,,,,,,,,,
57758,Ireland,Daily ICU occupancy,2021-01-21,2021-W03,214.0,Country_Website,https://data.gov.ie/dataset/icubishistorictimelinepublicview,IE,national,IE,Ireland,14059.0,146868.0,4964440.0,2958.40014180854,9.57254132962933,TESSy,,,,,,,,,
57774,Ireland,Daily ICU occupancy,2021-01-28,2021-W04,214.0,Country_Website,https://data.gov.ie/dataset/icubishistorictimelinepublicview,IE,national,IE,Ireland,8609.0,137069.0,4964440.0,2761.01634826889,6.28077829414383,TESSy,,,,,,,,,
57776,Ireland,Daily ICU occupancy,2021-01-30,2021-W04,213.0,Country_Website,https://data.gov.ie/dataset/icubishistorictimelinepublicview,IE,national,IE,Ireland,8609.0,137069.0,4964440.0,2761.01634826889,6.28077829414383,TESSy,,,,,,,,,
57773,Ireland,Daily ICU occupancy,2021-01-27,2021-W04,212.0,Country_Website,https://data.gov.ie/dataset/icubishistorictimelinepublicview,IE,national,IE,Ireland,8609.0,137069.0,4964440.0,2761.01634826889,6.28077829414383,TESSy,,,,,,,,,
57775,Ireland,Daily ICU occupancy,2021-01-29,2021-W04,211.0,Country_Website,https://data.gov.ie/dataset/icubishistorictimelinepublicview,IE,national,IE,Ireland,8609.0,137069.0,4964440.0,2761.01634826889,6.28077829414383,TESSy,,,,,,,,,
57777,Ireland,Daily ICU occupancy,2021-01-31,2021-W04,211.0,Country_Website,https://data.gov.ie/dataset/icubishistorictimelinepublicview,IE,national,IE,Ireland,8609.0,137069.0,4964440.0,2761.01634826889,6.28077829414383,TESSy,,,,,,,,,
57757,Ireland,Daily ICU occupancy,2021-01-20,2021-W03,210.0,Country_Website,https://data.gov.ie/dataset/icubishistorictimelinepublicview,IE,national,IE,Ireland,14059.0,146868.0,4964440.0,2958.40014180854,9.57254132962933,TESSy,,,,,,,,,
57756,Ireland,Daily ICU occupancy,2021-01-19,2021-W03,209.0,Country_Website,https://data.gov.ie/dataset/icubishistorictimelinepublicview,IE,national,IE,Ireland,14059.0,146868.0,4964440.0,2958.40014180854,9.57254132962933,TESSy,,,,,,,,,
57787,Ireland,Daily ICU occupancy,2021-02-01,2021-W05,207.0,Country_Website,https://data.gov.ie/dataset/icubishistorictimelinepublicview,IE,national,IE,Ireland,6906.0,122834.0,4964440.0,2474.27705843962,5.62222186039696,TESSy,,,,,,,,,
57788,Ireland,Daily ICU occupancy,2021-02-02,2021-W05,207.0,Country_Website,https://data.gov.ie/dataset/icubishistorictimelinepublicview,IE,national,IE,Ireland,6906.0,122834.0,4964440.0,2474.27705843962,5.62222186039696,TESSy,,,,,,,,,
57789,Ireland,Daily ICU occupancy,2021-02-03,2021-W05,202.0,Country_Website,https://data.gov.ie/dataset/icubishistorictimelinepublicview,IE,national,IE,Ireland,6906.0,122834.0,4964440.0,2474.27705843962,5.62222186039696,TESSy,,,,,,,,,
57755,Ireland,Daily ICU occupancy,2021-01-18,2021-W03,199.0,Country_Website,https://data.gov.ie/dataset/icubishistorictimelinepublicview,IE,national,IE,Ireland,14059.0,146868.0,4964440.0,2958.40014180854,9.57254132962933,TESSy,,,,,,,,,
57745,Ireland,Daily ICU occupancy,2021-01-17,2021-W02,196.0,Country_Website,https://data.gov.ie/dataset/icubishistorictimelinepublicview,IE,national,IE,Ireland,22332.0,160834.0,4964440.0,3239.72089500528,13.885123792233,TESSy,,,,,,,,,
57744,Ireland,Daily ICU occupancy,2021-01-16,2021-W02,191.0,Country_Website,https://data.gov.ie/dataset/icubishistorictimelinepublicview,IE,national,IE,Ireland,22332.0,160834.0,4964440.0,3239.72089500528,13.885123792233,TESSy,,,,,,,,,
57743,Ireland,Daily ICU occupancy,2021-01-15,2021-W02,187.0,Country_Website,https://data.gov.ie/dataset/icubishistorictimelinepublicview,IE,national,IE,Ireland,22332.0,160834.0,4964440.0,3239.72089500528,13.885123792233,TESSy,,,,,,,,,
